Date,Yslow_Grade,PageSpeed_Grade,Onload_Times,Total_Size_bytes,Total_Requests,TTFB_ms,HTML_Size_bytes,Redirect_duration_ms,Connection_duration_ms,Backend_duration_ms,DOM_interactive_ms,DOM_content_loaded_ms,DOM_content_loaded_duration_ms,Onload_ms,Onload_duration_ms,Fully_loaded_ms,First_paint_ms,RUM_Speed_Index,First_contentful_paint_ms,Total_Visits,Mobile_Device,Desktop_Device,Monthly_Visits,Avg_Visit_Duration,Pages_Per_Visit,Bounce_Rate,URL,type_website
0017-06-20,52,48,3.12,1539003,279,302,33384,0,39,263,1013,1013,2,3120,11,5104,670,671,670,6,13.74,86.26,43.53,2.37,2.26,68.65,babycenter.com,1
28-06-2019,53,58,4.452,848761,132,826,9859,648,35,143,1717,1717,102,4452,15,6237,1624,2195,1624,26,66.38,33.62,14,4.38,5.44,18.74,barclaycardus.com,1
13-06-2019,42,19,13.242,3182723,757,232,77359,165,52,15,779,780,10,13242,38,18820,1091,1288,1091,23,46.34,53.66,10.64,2.22,4.04,57.89,bhg.com,1
20-07-2019,74,78,1.888,395963,25,764,3122,0,53,711,1754,1754,4,1888,1,2015,1758,1851,1758,37,43.42,56.58,24.57,2.3,5.79,58.54,https://subscribe.billboard.com/sub/?p=BBL&amp;f=sale&amp;s=IB1404NS08,1
20-07-2019,45,37,11.136,4732543,414,58,25429,0,52,6,1692,1692,82,11136,64,15228,894,894,894,29,17.62,82.38,151.2,58,4.27,73.09,https://www.businessinsider.com/international?r=US&amp;amp;IR=T,1
20-07-2019,50,56,4.39,2576209,256,48,67412,0,43,5,755,756,114,4390,52,8015,142,579,142,24,50.21,49.79,107.2,4.04,2.95,61.94,https://www.buzzfeednews.com/article/juliareinstein/jews-against-ice-never-again-immigration-concentration-camp,1
20-07-2019,92,79,1.142,626236,28,181,21190,0,174,7,208,208,0,1142,2,1886,490,814,490,18,39.16,60.84,8.368,2.16,1.96,71.68,cancer.org,1
05-06-2019,57,91,3.979,1751685,114,1702,40514,114,122,1466,2471,2804,1,3979,9,7136,1858,4420,1858,28,30.65,69.35,14.65,3.46,5.13,50.49,carid.com,1
28-06-2019,83,23,0.788,7106221,593,203,70831,173,23,7,726,726,0,788,1,20683,614,3175,614,10,48.24,51.76,51.31,2.05,2.38,75.29,https://cbsi.secure.force.com/CBSi/knowledgehome2?categories=CBS_Interactive:CBSNews&amp;referer=cbsnews.com/main,1
20-07-2019,74,91,1.767,1082420,46,433,45632,127,103,203,1533,1533,13,1767,7,3489,722,722,722,14,45.73,54.27,63.81,3.49,2.8,53.23,http://shop.cbssports.com/?utm_source=cbssportscom_hp&amp;utm_medium=bm_referral&amp;utm_term=kw--CBS_Sports,1
05-06-2019,66,12,3.938,3115047,840,495,6827,317,60,118,2642,2642,92,3938,2,18541,2805,3731,2805,33,36.77,63.23,19.43,4.21,3.93,42.04,cheapoair.com,1
28-06-2019,36,13,16.756,19842472,1054,200,53030,140,54,6,3827,4236,282,16756,36,35666,1913,1996,1913,2,60.81,39.19,37.01,1.26,1.86,81.38,chron.com,1
07-06-2019,51,20,6.091,2669717,688,208,22532,118,9,81,902,903,50,6091,32,6583,463,1047,542,20,45.12,54.88,9.514,1.11,1.59,77.17,cinemablend.com,1
10-06-2019,55,52,5.058,3201873,217,262,55090,216,24,22,1555,1555,11,5058,49,11106,900,900,900,21,47.36,52.64,102.2,2.12,1.86,63.86,cnbc.com,1
28-06-2019,48,66,4.249,1667838,168,587,33235,184,72,331,1527,1528,1,4249,18,4794,1174,1174,1174,15,29.68,70.32,970446,3.27,4.01,54.05,cruisecritic.co.uk,1
28-06-2019,44,20,12.799,3280452,705,88,13904,26,31,31,1281,1281,104,12799,144,16667,818,1603,818,44,59.31,40.69,32.25,2.12,3.32,61.19,knowyourmeme.com,1
29-05-2019,57,36,2.326,3460251,460,933,188539,128,58,747,1732,1732,0,2326,13,12455,1938,1938,1938,7,39.57,60.43,45.35,5.14,7.11,42.3,kohls.com,1
07-06-2019,50,38,9.536,3724613,479,66,100342,21,36,9,736,820,0,9536,15,11626,769,769,769,4,56.13,43.87,39.99,2.1,1.83,67.26,kotaku.com,1
28-06-2019,54,36,6.993,5334351,286,271,52667,181,76,14,3107,3108,0,6993,60,8960,1066,1368,1066,36,55.63,44.37,24.19,2.17,3.31,67.88,nationalgeographic.com,1
28-06-2019,41,15,17.494,4951289,1110,126,77679,67,53,6,2742,2760,89,17494,28,29132,900,3986,900,22,53.31,46.69,10.37,2.45,2.43,48.43,nationalreview.com,1
28-06-2019,42,14,8.704,9663838,1358,96,27152,28,23,45,984,984,47,8704,1,28664,412,900,524,1,40.25,59.75,3.721,9.47,2.65,61.19,nesn.com,1
20-07-2019,93,86,2.387,773691,55,1660,16373,0,416,1244,1851,1851,0,2387,0,3163,1723,2456,2188,5,65.71,34.29,43.47,4.28,4.89,43.94,newegg.com,1
20-07-2019,60,33,1.936,4504538,90,915,37249,430,137,348,1227,1228,81,1936,0,2389,1508,1840,1508,39,65.06,34.94,26.06,1.42,1.86,64.51,newyorker.com,1
06-06-2019,49,47,7.451,2176334,271,663,23794,259,322,82,784,1206,0,7451,19,14119,900,900,900,3,37.17,62.83,37.61,3.2,2.87,47.22,nfl.com,1
20-07-2019,55,28,7.596,6222975,273,62,91420,0,56,6,519,1431,1,7596,19,9068,557,557,557,43,57.83,42.17,306.5,2.36,2.17,67.2,nytimes.com,1
28-06-2019,50,53,4.456,3488145,292,113,36036,44,30,39,507,1445,227,4456,5,6048,715,757,715,34,54.89,45.11,2.149,0.47,1.32,84.81,observer.com,1
28-06-2019,47,48,10.457,3147449,306,264,36781,208,34,22,1236,1237,123,10457,24,13003,858,1423,858,19,46.96,53.04,8.715,3.04,2.65,58.15,oregonlive.com,1
28-06-2019,51,31,3.75,17147382,179,300,25061,150,94,56,1428,1428,50,3750,99,14394,1197,3786,1197,40,67.22,32.78,282186,0.53,1.46,81.74,outdoorchannel.com,1
05-06-2019,44,41,4.981,2020457,300,542,27722,467,61,14,1087,1087,4,4981,14,7707,756,948,1302,9,35.22,64.78,50.07,3.33,3.14,48.37,skysports.com,1
01-06-2019,50,26,7.978,3678761,626,54,202628,26,20,8,1804,1824,13,7978,25,11230,704,1121,704,38,66.48,33.52,24.77,2.23,1.75,69.51,techcrunch.com,1
30-05-2019,51,26,5.188,3236282,532,1058,45395,315,455,288,1589,2344,5,5188,92,15935,1576,6063,1576,12,60.97,39.03,62.97,1,1.53,77.58,techradar.com,1
28-06-2019,75,91,2.647,2306200,98,232,32683,165,61,6,847,847,0,2647,4,2696,437,1361,437,35,59.48,40.52,24.09,6.23,4.1,50.7,ted.com,1
03-06-2019,41,14,12.377,6455072,1063,96,61580,28,27,41,1720,2047,18,12377,230,16369,575,1222,575,32,33.56,66.44,19.27,7.26,5.6,35.59,thechive.com,1
21-06-2019,41,31,8.743,5938109,704,763,51693,483,14,266,2914,2914,114,8743,175,13010,1922,2107,2115,31,39.92,60.08,17.98,3.26,2.29,52.62,thegatewaypundit.com,1
29-05-2019,51,52,9.483,2237766,297,452,166080,393,1,58,1354,1355,11,9483,7,9754,963,970,963,42,52.46,47.54,295.4,3.32,3.16,60.91,theguardian.com,1
05-06-2019,47,58,2.508,2345882,167,76,39024,37,32,7,840,840,70,2508,72,16374,552,552,552,11,51.51,48.49,54.38,4.08,1.87,71.56,thehill.com,1
28-06-2019,67,91,1.596,1125605,64,169,18416,68,48,53,232,1095,0,1596,1,3590,466,774,466,27,48.53,51.47,14.16,1.09,1.65,76.08,thekitchn.com,1
03-06-2019,50,45,10.641,3222701,357,155,92011,133,15,7,628,2686,7,10641,15,12553,675,675,675,11,51.51,48.49,54.38,4.08,1.87,71.56,theonion.com,1
06-06-2019,63,80,1.401,1000960,90,102,139413,29,51,22,463,463,71,1401,9,2706,463,655,463,17,20.26,79.74,8.242,1.01,1.26,68.62,thepennyhoarder.com,1
29-05-2019,53,30,2.793,5954750,453,106,60064,63,37,6,2115,2116,31,2793,143,9201,581,581,2042,13,60.51,39.49,63.78,1.15,1.54,71.9,theverge.com,1
28-06-2019,39,40,5.901,2387497,373,119,25348,44,45,30,999,1000,1,5901,134,10292,703,1448,703,16,58.72,41.28,7.738,1.52,2.78,62.73,theweek.com,1
20-07-2019,64,39,3.382,5001559,140,286,593458,235,39,12,1494,1969,0,3382,25,5132,729,729,729,8,38.39,61.61,46.56,2.08,2.35,59.69,tmz.com,1
12-06-2019,44,25,11.04,10895707,959,409,53594,154,38,217,4555,4555,125,11040,9,27534,3640,3746,3640,30,48.76,51.24,15.52,4.05,3.32,48.74,townhall.com,1
28-06-2019,49,38,10.349,3407870,352,309,5209,180,31,98,1547,1547,848,10349,101,11662,2460,3786,4131,25,1.44,98.56,134.1,4.24,2.09,52.51,tracfone.com,1
28-06-2019,48,21,16.989,6151866,466,1235,84152,137,422,676,4074,4074,131,16989,33,18048,3245,4020,3245,41,41.37,58.63,29.43,1.1,1.85,70.32,tvguide.com,1
28-06-2019,68,27,8.244,14349984,140,3023,19744,331,629,2063,3999,3999,59,8244,26,8442,3649,4621,3649,45,50.87,49.13,362368,1.54,2.24,58.52,bachtrack.com,1
28-06-2019,89,76,1.025,747078,70,170,11285,48,44,78,601,601,56,1025,1,1056,625,625,625,50,26.35,73.65,462315,2.08,1.66,66.53,badcredit.org,1
28-06-2019,68,59,2.553,1430677,49,548,9130,331,143,74,1375,1376,59,2553,11,3943,1392,1429,1392,62,37.23,62.77,69646,2.48,2.92,57.8,bibletalk.tv,1
28-06-2019,66,77,2.215,3025254,187,944,16261,794,119,31,1572,1572,69,2215,15,5540,1430,1473,1430,46,16.09,83.91,366735,1.52,1.89,64.48,bigsquidrc.com,1
28-06-2019,67,66,5.373,1064933,54,3397,7273,361,510,2526,4980,4980,10,5373,1,9307,4883,5001,4883,91,67.28,32.72,299796,3.24,3.5,44.81,bitcoincharts.com,1
28-06-2019,73,83,2.654,1283048,114,1194,12752,88,41,1065,1491,1821,0,2654,128,6998,1831,1846,2616,47,35.76,64.24,376376,0.59,1.7,66.03,brevardtimes.com,1
28-06-2019,72,81,1.578,983454,84,296,6004,136,30,130,476,476,0,1578,1,2555,352,389,352,68,34.1,65.9,116047,3.05,3.36,50.45,buildeazy.org,1
28-06-2019,63,42,2.104,2772878,89,365,36367,37,24,304,848,848,187,2104,2,4148,888,888,888,80,45.48,54.52,164487,2.09,1.83,66.64,bycommonconsent.com,1
28-06-2019,53,73,3.087,16936599,182,806,9744,326,113,367,2102,2102,108,3087,31,8939,2386,2387,2386,77,28.11,71.89,148723,1.4,1.64,77.86,camelliabrand.com,1
28-06-2019,67,87,2.428,1381088,81,676,12531,151,159,366,1360,1360,31,2428,3,3167,1131,1330,1131,48,27.77,72.23,418399,26.31,10.55,35.13,caminodesantiago.me,1
28-06-2019,72,84,2.565,1210177,69,597,8526,217,71,309,2435,2435,13,2565,20,3185,2541,2541,2541,58,26.34,73.66,54551,2.48,3.78,50.85,carburetor-parts.com,1
31-05-2019,66,61,2.229,1578701,78,884,20546,173,159,552,1982,1982,107,2229,7,2754,1596,1854,1619,85,53.54,46.46,25649,2.1,2.77,39.19,cardonationwizard.com,1
31-05-2019,66,61,2.229,1578701,78,884,20546,173,159,552,1982,1982,107,2229,7,2754,1596,1854,1619,67,39.1,60.9,1.086,3.09,3.03,73.41,cardplayer.com,1
