"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-06-27 23:56:48",53,50,3.123,1551153,261,490,36461,0,164,326,1477,1477,2,3123,11,4915,866,897,866,"130.6","13.74","86.26","43.53","02.37","2.26","68.65","babycenter.com"
"2019-07-24 13:19:48",52,54,2.798,945406,137,396,10454,0,210,186,982,1050,51,2798,21,4402,902,1228,902,"42.01","66.38","33.62","14.00","04.38","5.44","18.74","barclaycardus.com"
"2019-07-24 13:19:48",52,54,2.798,945406,137,396,10454,0,210,186,982,1050,51,2798,21,4402,902,1228,902,"31.92","46.34","53.66","10.64","02.22","4.04","57.89","bhg.com"
"2019-07-20 09:01:19",74,78,1.888,395963,25,764,3122,0,53,711,1754,1754,4,1888,1,2015,1758,1851,1758,"73.73","43.42","56.58","24.57","02.30","5.79","58.54","https://subscribe.billboard.com/sub/?p=BBL&amp;f=sale&amp;s=IB1404NS08"
"2019-07-20 09:04:51",45,37,11.136,4732543,414,58,25429,0,52,6,1692,1692,82,11136,64,15228,894,894,894,"453.8","17.62","82.38","151.2","58","4.27","73.09","https://www.businessinsider.com/international?r=US&amp;amp;IR=T"
"2019-07-20 09:13:21",50,56,4.39,2576209,256,48,67412,0,43,5,755,756,114,4390,52,8015,142,579,142,"321.7","50.21","49.79","107.2","04.04","2.95","61.94","https://www.buzzfeednews.com/article/juliareinstein/jews-against-ice-never-again-immigration-concentration-camp"
"2019-06-28 01:02:54",44,37,4.703,3461423,214,279,24195,158,114,7,2041,2042,220,4703,125,5679,1262,1839,1262,"25.10","39.16","60.84","8.368","02.16","1.96","71.68","cancer.org"
"2019-06-25 05:51:22",57,90,2.611,1756567,114,944,40708,156,114,674,1615,1880,0,2611,13,6566,1101,3756,1101,"43.96","30.65","69.35","14.65","03.46","5.13","50.49","carid.com"
"2019-07-20 09:27:17",86,79,1.067,336838,14,563,8969,0,307,256,1047,1047,2,1067,0,1150,983,985,983,"153.9","48.24","51.76","51.31","02.05","2.38","75.29","https://cbsi.secure.force.com/CBSi/knowledgehome2?categories=CBS_Interactive:CBSNews&amp;referer=cbsnews.com/main"
"2019-07-20 09:33:24",74,91,1.767,1082420,46,433,45632,127,103,203,1533,1533,13,1767,7,3489,722,722,722,"191.4","45.73","54.27","63.81","03.49","2.80","53.23","http://shop.cbssports.com/?utm_source=cbssportscom_hp&amp;utm_medium=bm_referral&amp;utm_term=kw--CBS_Sports"
"2019-06-23 23:08:27",66,19,2.312,2705148,698,323,7101,170,33,120,1437,1437,61,2312,2,13012,1531,1531,1531,"58.29","36.77","63.23","19.43","04.21","3.93","42.04","cheapoair.com"
"2019-06-28 01:33:53",36,13,16.756,19842472,1054,200,53030,140,54,6,3827,4236,282,16756,36,35666,1913,1996,1913,"111.0","60.81","39.19","37.01","01.26","1.86","81.38","chron.com"
"2019-06-28 01:35:55",43,19,7.495,2472588,744,304,21176,199,7,98,1098,1106,56,7495,27,9354,526,1324,665,"28.54","45.12","54.88","9.514","01.11","1.59","77.17","cinemablend.com"
"2019-06-28 01:37:36",54,49,12.059,3781048,285,249,53151,211,28,10,3031,3031,10,12059,200,22992,1113,1174,1113,"306.7","47.36","52.64","102.2","02.12","1.86","63.86","cnbc.com"
"2019-07-24 13:43:48",47,60,4.071,1725833,180,1144,196824,628,1,515,3113,3114,3,4071,40,5346,1717,1717,1717,"2.911","29.68","70.32","970,446","03.27","4.01","54.05","cruisecritic.co.uk"
"2019-06-28 01:46:18",44,20,12.799,3280452,705,88,13904,26,31,31,1281,1281,104,12799,144,16667,818,1603,818,"96.76","59.31","40.69","32.25","02.12","3.32","61.19","knowyourmeme.com"
"2019-06-28 01:48:42",63,37,3.378,3506798,396,444,188176,44,90,310,2377,2377,1,3378,34,9016,2894,2894,2894,"136.0","39.57","60.43","45.35","05.14","7.11","42.30","kohls.com"
