Date,"YSlow Grade (%)","PageSpeed Grade (%)","Onload Time (s)","Total Size (bytes)","Total Requests","TTFB (ms)","HTML Size (bytes)","Redirect duration (ms)","Connection duration (ms)","Backend duration (ms)","DOM interactive (ms)","DOM content loaded (ms)","DOM content loaded duration (ms)","Onload (ms)","Onload duration (ms)","Fully loaded (ms)","First paint (ms)","RUM Speed Index","First contentful paint (ms)","Report slug"
"2019-06-24 00:57:38",54,56,10.6640,8788658,201,102,130176,36,52,14,1000,2470,1,10664,92,15224,975,975,975,hBl6rwlg
"2019-06-24 12:17:17",54,51,6.7260,4117566,190,92,125113,29,54,9,513,1416,0,6726,12,7840,526,526,526,MotNmdsQ
"2019-06-24 16:27:46",54,49,5.9430,4204934,192,340,137540,131,148,61,968,1737,0,5943,10,7995,663,669,663,xdPvgyLg
"2019-06-25 14:26:15",54,53,5.8900,4416766,197,92,158091,23,61,8,553,1333,0,5890,11,7753,436,436,436,OVPPwu8O
"2019-06-26 09:42:27",54,51,8.0310,10538891,209,78,159454,27,43,8,1091,2131,0,8031,26,14319,568,568,568,newljIW4
"2019-06-26 12:46:06",53,51,7.2270,9840532,213,106,148706,39,58,9,1036,1779,1,7227,17,13370,493,809,493,1pEaeLgQ
"2019-06-26 16:35:13",54,52,7.6880,4628452,210,64,165679,21,36,7,589,1102,0,7688,13,12286,194,408,194,gaXX1c4z
"2019-06-28 04:09:02",54,52,12.3220,8224352,227,79,150960,20,52,7,1737,2544,0,12322,37,14598,1161,1161,1161,dpQmCFGB
"2019-06-28 19:40:02",54,48,6.3930,4391304,211,83,179754,28,45,10,1072,1847,1,6393,11,8408,420,420,420,bCW1k7dd
"2019-07-01 16:32:39",54,54,6.1520,5031331,190,87,137859,29,52,6,451,1332,0,6152,15,7620,336,597,336,KVdGdIc1
"2019-07-02 14:45:43",54,55,5.8520,3656186,182,123,134316,34,79,10,480,1037,0,5852,11,7432,407,407,407,kVgu3oDK
"2019-07-03 12:12:54",51,50,6.3090,10698354,226,82,149670,27,37,18,874,1414,1,6309,24,12905,363,363,363,HbxqByKD
"2019-07-06 23:18:49",51,52,5.7480,7075734,208,106,137068,28,70,8,619,1303,0,5748,15,7498,366,366,366,5NiOAoRb
"2019-07-08 11:15:58",54,52,5.1970,3884731,205,76,125877,26,43,7,431,1137,0,5197,19,7235,346,346,346,SSZkUmYq
"2019-07-13 03:08:01",54,50,7.9970,5058437,220,75,170748,23,45,7,1277,1762,18,7997,21,9179,382,429,382,b5TPVf21
"2019-07-13 05:56:31",54,56,5.5890,3858673,200,74,171147,25,42,7,790,1380,0,5589,10,10233,411,411,411,Z5O5SIH5
"2019-07-13 06:00:51",51,56,7.7750,3703460,191,91,170988,30,53,8,1085,1916,1,7775,27,9134,585,585,585,Zxuq5vbb
"2019-07-14 18:03:03",54,57,5.7690,3628799,176,399,129965,140,199,60,788,1570,0,5769,16,7779,724,724,724,87OOlsBt
"2019-07-17 10:29:06",52,56,8.2300,16911386,214,83,146279,20,54,9,1001,1821,1,8230,26,13419,583,583,583,i6eYwez6
"2019-07-17 13:44:23",52,55,7.7400,16584224,215,72,139653,27,38,7,706,1766,1,7740,16,10522,592,592,592,hBkNp5Fz
"2019-07-19 13:18:31",52,54,3.8640,3771075,186,72,119633,25,40,7,333,951,0,3864,9,6761,178,187,178,BCzF7yNi
"2019-07-22 08:27:40",52,55,7.8910,3822825,190,71,139017,19,44,8,494,1304,0,7891,23,10881,451,451,451,uRB5CYOx
"2019-07-24 14:02:56",53,49,7.3680,4858246,218,167,130021,28,131,8,1318,1844,1,7368,22,8663,664,689,664,N7ApFUOI
