Date,"YSlow Grade (%)","PageSpeed Grade (%)","Onload Time (s)","Total Size (bytes)","Total Requests","TTFB (ms)","HTML Size (bytes)","Redirect duration (ms)","Connection duration (ms)","Backend duration (ms)","DOM interactive (ms)","DOM content loaded (ms)","DOM content loaded duration (ms)","Onload (ms)","Onload duration (ms)","Fully loaded (ms)","First paint (ms)","RUM Speed Index","First contentful paint (ms)","Report slug"
"2019-06-23 22:17:56",52,25,6.1660,3190639,557,1189,45639,437,463,289,1715,2105,6,6166,57,26169,1339,1842,1479,AwCYDBIo
"2019-06-25 15:21:02",54,23,3.3550,3275524,553,1298,46299,571,444,283,1790,2153,4,3355,53,12300,1428,1476,1572,Saftr94e
"2019-06-25 15:23:48",54,22,4.1630,3258778,556,1292,46297,566,439,287,2075,2622,11,4163,85,13700,1742,1881,1742,i0QNUeFA
"2019-06-26 04:49:19",54,26,3.6800,2633624,524,1303,46141,566,446,291,1702,3105,9,3680,77,14430,1430,2318,1540,diM76qde
"2019-06-28 04:46:34",51,24,5.5280,3105766,527,1052,45911,320,450,282,1569,2737,7,5528,111,17160,1495,1498,1495,J8HpbL8E
"2019-06-30 15:23:12",51,26,4.4390,2758177,544,1163,46201,433,446,284,1847,2402,6,4439,75,15648,1310,1342,1512,txtGa7yH
"2019-07-08 05:46:02",53,27,3.7820,3352382,530,1448,46639,448,715,285,1979,2394,1,3782,93,12472,1918,4984,1918,brFmGpuZ
"2019-07-09 04:41:39",52,26,5.7740,3503125,531,1048,46571,316,448,284,1876,2513,14,5774,171,15525,1530,6660,1530,cWG8DwUJ
"2019-07-18 01:49:57",51,31,4.5170,2576087,548,1020,46826,300,436,284,1365,2191,5,4517,67,15201,1243,1931,1243,t6ZWsYKy
"2019-07-19 01:56:37",54,31,3.4720,2468159,527,1287,46431,564,441,282,1720,2350,4,3472,58,10158,1538,1690,1538,i0eJ3DvA
"2019-07-24 14:13:53",54,25,3.2220,2497891,537,1291,46577,563,444,284,1779,2265,4,3222,70,13324,1611,1664,1611,zaI3NVuJ
