"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-07-25 12:31:33",68,18,9.879,14360757,153,3019,19474,312,659,2048,4708,4708,36,9879,48,10101,4426,4691,4426,"1.087","50.87","49.13","362,368","01.54","2.24","58.52","bachtrack.com"
"2019-07-25 12:32:59",89,76,1.408,813139,70,323,11237,32,174,117,1055,1056,16,1408,4,1431,938,938,938,"1.386","26.35","73.65","462,315","02.08","1.66","66.53","badcredit.org"
"2019-07-25 12:33:56",67,60,1.531,1400100,49,370,9181,145,144,81,1063,1064,44,1531,6,2428,1081,1155,1081,"208,938","37.23","62.77","69,646","02.48","2.92","57.80","bibletalk.tv"
"2019-06-28 06:33:42",60,77,10.393,2579033,166,914,16261,789,90,35,1897,1897,429,10393,40,11522,2026,2544,2026,"1.100","16.09","83.91","366,735","01.52","1.89","64.48","bigsquidrc.com"
"2019-07-25 12:38:08",69,68,5.144,1051971,43,3261,7293,342,502,2417,4935,4936,9,5144,3,7157,4768,4819,4768,"899,388","67.28","32.72","299,796","03.24","3.50","44.81","bitcoincharts.com"
"2019-06-28 06:44:18",73,83,2.654,1283048,114,1194,12752,88,41,1065,1491,1821,0,2654,128,6998,1831,1846,2616,"1.129","35.76","64.24","376,376","00.59","1.70","66.03","brevardtimes.com"
"2019-06-28 06:47:28",72,81,1.578,983454,84,296,6004,136,30,130,476,476,0,1578,1,2555,352,389,352,"348,140","34.10","65.90","116,047","03.05","3.36","50.45","buildeazy.org"
"2019-07-25 12:40:12",60,45,3.069,2497716,86,166,32673,48,80,38,1547,1547,60,3069,1,4404,977,977,977,"493,460","45.48","54.52","164,487","02.09","1.83","66.64","bycommonconsent.com"
"2019-07-25 12:42:19",48,60,3.703,22110848,229,922,9743,301,112,509,1793,1793,158,3703,3,9220,1461,1562,1461,"446,169","28.11","71.89","148,723","01.40","1.64","77.86","camelliabrand.com"
"2019-07-25 12:43:26",68,64,2.47,1386411,82,634,12457,182,177,275,1862,1862,50,2470,3,2996,1376,1642,1376,"1.255","27.77","72.23","418,399","26.31","10.55","35.13","caminodesantiago.me"
"2019-07-25 12:46:10",72,87,1.22,1101859,66,337,8473,145,77,115,1103,1104,6,1220,15,1392,1186,1186,1186,"163,652","26.34","73.66","54,551","02.48","3.78","50.85","carburetor-parts.com"
"2019-07-25 12:47:54",71,77,2.146,852910,68,1033,19501,160,227,646,1938,1938,69,2146,36,2617,1680,1893,1680,"76,946","53.54","46.46","25,649","02.10","2.77","39.19","cardonationwizard.com"
"2019-07-25 12:48:56",60,32,3.484,2838613,107,1657,12378,157,26,1474,2319,2319,52,3484,19,3620,1887,2013,1887,"3.258","39.10","60.90","1.086","03.09","3.03","73.41","cardplayer.com"
"2019-07-25 12:52:10",51,63,2.729,1854351,95,469,8724,193,179,97,1840,1840,68,2729,3,2821,1080,1342,1080,"415,499","22.46","77.54","138,500","02.56","4.50","55.29","careerlink.com"
"2019-07-25 12:53:19",63,26,2.882,6080636,130,153,27811,70,59,24,2386,2466,86,2882,5,3771,857,857,857,"376,143","42.31","57.69","125,381","00.32","1.32","81.32","celebrityaccess.com"
"2019-07-25 12:55:27",74,14,3.806,8386871,94,524,25326,165,210,149,1627,1637,3,3806,11,4132,1237,1237,1237,"369,080","21.47","78.53","123,027","01.37","2.27","75.34","cgi.org"
"2019-07-25 12:56:34",71,95,3.074,823490,57,2243,44735,816,169,1258,2516,2646,105,3074,1,3562,2534,2827,2534,"585,479","77.07","22.93","195,160","00.25","1.10","80.62","chriswrites.com"
"2019-07-25 12:57:36",52,68,1.458,773813,54,431,34125,222,115,94,955,955,38,1458,15,1774,815,817,815,"231,250","29.42","70.58","77,083","01.55","2.79","56.88","churchangel.com"
"2019-07-25 12:58:38",59,68,5.055,3726311,132,793,31758,445,244,104,2772,2772,136,5055,1,5195,2522,3005,2522,"845,341","37.96","62.04","281,780","03.35","2.93","55.98","churchofsatan.com"
"2019-07-25 12:59:47",52,0,3.028,10004429,69,1391,23856,167,156,1068,2331,2331,13,3028,4,3967,2135,2588,2135,"799,180","16.03","83.97","266,393","02.02","3.11","46.85","cinemacafe.com"
