"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-07-29 15:03:13",57,80,3.26,1629892,99,854,13187,334,167,353,1747,1980,43,3260,27,4404,1443,1492,1443,"812,033","45.93","54.07","270,678","02.55","2.00","64.85","1funny.com"
"2019-07-27 12:00:16",55,67,3.031,1239003,143,355,7184,213,14,128,1335,1335,1,3031,17,3717,651,666,651,"7.747","18.90","81.10","2.582","01.38","1.57","75.19","2carpros.com"
"2019-07-27 12:09:30",68,75,1.388,842456,53,553,7313,253,223,77,892,892,4,1388,1,2868,712,762,712,"1.197","52.39","47.61","399,271","00.53","1.22","86.83","1728.org"
"2019-07-27 12:12:04",52,56,2.541,2399397,134,536,22097,184,218,134,1393,1394,15,2541,20,3239,1174,1650,1174,"1.372","33.36","66.64","457,406","02.56","3.70","57.98","barrett-jackson.com"
"2019-07-30 13:15:45",66,68,2.32,2151903,126,475,15169,202,37,236,1214,1214,59,2320,19,3164,903,917,903,"2.255","34.96","65.04","751,870","03","2.14","73.47","bassresource.com"
"2019-07-27 12:21:49",56,61,3.417,2143862,182,178,48333,85,63,30,2181,2182,227,3417,15,4648,993,1037,993,"1.330","43.56","56.44","443,604","04.18","2.69","57.28","bendbulletin.com"
"2019-07-27 12:24:33",50,54,2.821,1822928,72,453,136787,26,187,240,1032,1034,119,2821,29,4058,805,806,805,"7.199","38.88","61.12","2.399","02.01","2.88","69.90","biblia.com"
"2019-07-27 12:33:29",85,97,2.264,1074634,25,487,11284,177,159,151,567,567,0,2264,1,2369,642,931,642,"2.109","48.18","51.82","703,050","04.32","5.16","45.05","billiongraves.com"
"2019-07-27 12:41:06",49,12,4.227,2431438,975,949,17496,517,24,408,2576,2581,45,4227,2,11790,2015,2130,2015,"8.465","35.79","64.21","2.821","03.14","2.06","61.09","bizpacreview.com"
"2019-07-11 17:27:32",55,61,2.168,1589272,113,620,8196,293,242,85,1349,1350,26,2168,15,3086,1005,1083,1005,"5.587","73.11","26.89","1.862","02.17","3.92","41.02","brandsoftheworld.com"
