"Date","YSlow.Grade....","PageSpeed.Grade....","Onload.Time..s.","Total.Size..bytes.","Total.Requests","TTFB..ms.","HTML.Size..bytes.","Redirect.duration..ms.","Connection.duration..ms.","Backend.duration..ms.","DOM.interactive..ms.","DOM.content.loaded..ms.","DOM.content.loaded.duration..ms.","Onload..ms.","Onload.duration..ms.","Fully.loaded..ms.","First.paint..ms.","RUM.Speed.Index","First.contentful.paint..ms.","Total Visits","Mobile Device","Desktop Device","Monthly Visits","Avg. Visit Duration","Pages Per Visit","Bounce Rate","url"
"2019-07-15 14:53:19",54,45,2.389,1495207,60,800,106714,197,308,295,1761,1762,97,2389,1,2499,1765,1922,1765,"2.191","45.31","54.69","730,516","01.07","1.91","66.33","airnow.gov"
"2019-07-14 12:59:35",70,62,1.405,1287086,77,591,6159,178,162,251,1191,1191,44,1405,71,2334,1190,1713,1190,"7.298","50.19","49.81","2.432","40.50","5.51","46.23","aviationweather.gov"
"2019-07-16 15:47:32",62,58,2.586,1858305,55,1010,11936,624,77,309,1717,1717,35,2586,2,2865,1553,1620,1553,"1.156","62.76","37.24","385,562","02.34","3.41","54.38","bea.gov"
"2019-07-12 10:21:15",80,93,3.015,659177,42,1297,14304,1240,52,5,2167,2167,434,3015,18,3346,1975,1975,1975,"17.08","45.66","54.34","5.693","01.31","1.82","79.61","cancer.gov"
"2019-06-17 22:59:31",78,69,1.345,1209178,40,571,77571,477,32,62,1019,1019,17,1345,2,1483,783,790,783,"71.97","48.10","51.90","23.99","02.09","2.36","68.71","cdc.gov"
"2019-07-15 18:53:23",67,70,2.466,1636437,81,787,20956,612,123,52,1297,1297,135,2466,163,2770,1227,1352,1227,"2.190","49.05","50.95","730,236","02.58","3.50","60.63","choosemyplate.gov"
"2019-07-15 18:36:34",80,85,1.398,329320,30,843,26143,641,194,8,955,955,1,1398,1,1672,957,957,957,"4.224","45.32","54.68","1.408","01.45","2.48","74.09","consumerfinance.gov"
"2019-07-16 14:29:32",64,0,2.814,16768778,62,163,14519,42,110,11,1828,1828,81,2814,15,3604,1743,1934,1743,"1.884","38.56","61.44","628,133","01.32","2.35","71.92","dea.gov"
"2019-07-16 15:54:00",61,74,1.695,1590053,53,349,40187,183,101,65,1005,1006,73,1695,4,2722,523,596,523,"837,863","12.26","87.74","279,288","04.41","6.68","47.38","disasterassistance.gov"
"2019-07-16 14:21:28",72,62,1.776,1338333,64,367,19136,123,69,175,939,939,100,1776,2,2276,698,775,698,"1.272","49.34","50.66","424,019","02.08","2.70","55.64","e-verify.gov"
"2019-07-14 13:08:14",71,66,2.041,2783814,82,1175,10021,1131,35,9,1717,1717,69,2041,0,2382,1503,1705,1503,"17.21","60.95","39.05","5.739","02.28","2.79","66.43","epa.gov"
"2019-07-15 15:16:29",71,80,2.721,2400168,76,1014,36529,615,316,83,1768,1768,7,2721,1,2813,1626,1835,1626,"2.943","57.47","42.53","981,033","01.28","1.77","75.46","federalregister.gov"
