domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
tools.usps.com,145759050,212520695,49960539,1.4580274432359432,97.02117983068632,147499987
ncbi.nlm.nih.gov,141891418,402396907,69072832,2.8359495780076003,243.00536720973497,141889182
forecast.weather.gov,46619549,74561760,10322629,1.5993668235615064,120.35777396731145,48022810
medlineplus.gov,46294172,61078162,33825841,1.3193488372575277,68.75349579640393,46281872
usps.com,30850482,41704225,15662845,1.3518176150375867,72.46852162633958,26717852
reg.usps.com,27660441,39317005,9705418,1.4214164192103806,50.947488906630234,24575504
cdc.gov,26230345,49934822,19522649,1.9037043546320112,108.84739350549907,26147603
irs.gov,23660869,68855914,13283452,2.9101177137661343,168.65294812291128,23008996
weather.gov,20962808,47698550,6911197,2.2753893466943933,181.13078577068492,19405245
nps.gov,16928574,52725688,10786655,3.114597130272166,191.7906240064875,16907330
usajobs.gov,16146997,156885618,6932441,9.716086402939197,411.708549150037,15599111
informeddelivery.usps.com,16053074,34579464,4796802,2.154071176648161,49.33781442731778,18481665
ssa.gov,15886472,41763486,8794137,2.62887102938903,193.75253152493516,16086618
travel.state.gov,14790699,39444473,8528021,2.6668430613049456,211.54119822193664,14205914
uscis.gov,12249176,26069334,5993207,2.1282520554852016,156.82410408667488,11676691
studentaid.ed.gov,12241349,22065290,6326412,1.8025211110311454,205.35852102574643,11978588
earthquake.usgs.gov,12055739,24439092,6248142,2.0271749413287727,148.31441241387193,12140717
secure.login.gov,10934249,29820679,4369674,2.7272727189585675,760.2846823773631,10861570
nhc.noaa.gov,10090056,26003363,3364470,2.577127718617221,114.29333365444157,10074403
egov.uscis.gov,10085584,38784773,2908271,3.845565412969641,189.37671621197146,10578682
va.gov,9134050,25027231,3694320,2.739992774289609,154.94810341524297,8633126
fda.gov,9017764,16852541,6712169,1.868815928205706,110.20880719433332,8829918
ceac.state.gov,7968953,140795645,2464371,17.668023013813734,981.9856917213591,8339056
sa.www4.irs.gov,7604441,38705385,4039824,5.089839608197368,179.6929815090945,8335702
m.usps.com,7073326,16193959,3068164,2.2894404980061713,180.7812292265336,6884361
nasa.gov,6848581,14220450,4810220,2.07640823697639,125.41502173953991,6801619
myhealth.va.gov,6471769,40477630,2287706,6.2544923961284775,285.44144576235647,6412508
cancer.gov,5513527,7584314,4660390,1.3755829979611962,69.26221944682597,5488928
medicare.gov,5228402,28989904,2504624,5.5446968308863775,1151.224866986127,5217221
esta.cbp.dhs.gov,5195977,47354164,2522514,9.113620787774849,691.8032512461083,5199331
ttp.cbp.dhs.gov,5192622,9315188,1608997,1.7939276149891135,150.97674777790488,5204922
tsa.gov,5096462,9813877,3916829,1.9256254633116072,110.14985631208474,5090872
fs.usda.gov,4992476,15865227,3339871,3.1778273946634896,204.03336380585506,4983531
drugabuse.gov,4717414,6694278,4219844,1.4190567120036528,62.1052443139398,4716296
petitions.whitehouse.gov,4652563,7346151,3172151,1.57894713086099,72.39436994190083,4651444
usa.gov,4227671,6419217,3676430,1.51838139722793,100.11399160436089,4227671
cbp.gov,4214253,9309598,3112890,2.2090743009496583,118.86947271556787,4200836
justice.gov,4083432,7549652,2812111,1.8488496931012932,104.15004266019368,4080077
water.weather.gov,3985036,7425539,1213177,1.8633555631617882,96.35689213347132,4010753
hhs.gov,3926893,5733800,3671958,1.4601365507030621,43.482056170107,3891112
store.usps.com,3914593,15870818,2219499,4.054270265133566,102.71351121304309,4123684
sec.gov,3905648,37921572,1739819,9.709418769945474,418.80589187760904,3958200
waterdata.usgs.gov,3809488,7681592,1198641,2.0164368545064324,103.50719860516689,3837442
aviationweather.gov,3744636,19926296,936998,5.32129050727494,2090.9219964236845,3750227
cms.gov,3612696,10775474,1908658,2.9826683451915135,223.21481879460657,3630587
search.usa.gov,3591452,7463556,2616438,2.078144438516789,83.51805314396518,3542254
epa.gov,3544490,8047223,2759559,2.270347214973099,142.41104587683984,3409196
niddk.nih.gov,3367825,4454653,3015612,1.3227091668955484,72.94322032765955,3384597
nhlbi.nih.gov,3106181,9451601,2434181,3.0428365249803537,67.53707559218216,3108417
healthcare.gov,3067046,15215590,2000345,4.960991781668746,196.0452177763229,3068164
spc.noaa.gov,2984304,19557311,685417,6.553391008422734,957.7969737667477,2985422
uspto.gov,2964178,7226511,997377,2.4379477210882747,246.51562962818022,2624264
osha.gov,2921689,8217179,1716338,2.812475592029131,167.9544321794688,2923925
nhtsa.gov,2893735,4858300,2004817,1.678902871202788,102.61476603766413,2892617
pubchem.ncbi.nlm.nih.gov,2719306,5176968,1869523,1.9037828034064574,165.77384781264044,2741669
universalenroll.dhs.gov,2596311,10504885,1259021,4.046081151295049,1553.4319917760238,2590720
opm.gov,2595193,8250723,1670495,3.1792329125425356,198.79663362223928,2589602
census.gov,2590720,8535848,1847160,3.2947782855731225,171.72855345232213,2590720
cns.usps.com,2482261,10673723,1208705,4.300000282000966,209.77794679930918,4305941
